PČV,Typ,Stav,Kód STK,Název STK,Platnost od,Platnost do,Číslo protokolu,Aktuální
4072035,E - Evidenční,Nezjištěno,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2002-01-30,2002-01-30,,True
11514891,Z - Na žádost provozovatele,Nezjištěno,3805,"BESKYDSKÁ 2299, 73802, FRÝDEK-MÍSTEK",2003-05-05,2003-05-05,,True
7214003,E - Evidenční,Nezjištěno,3219,"NÁM. SMIŘICKÝCH 16, 28163, KOSTELEC NAD ČERNÝMI LESY",2011-05-05,2011-05-05,,True
4072035,P - Pravidelná,A,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2010-03-18,2012-03-18,,True
11514891,P - Pravidelná,A,3805,"BESKYDSKÁ 2299, 73802, FRÝDEK-MÍSTEK",2003-04-23,2005-04-23,,True
7663320,E - Evidenční,Nezjištěno,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2005-09-21,2005-09-21,,True
4109063,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2009-05-11,2011-05-11,,True
5686084,E - Evidenční,Nezjištěno,3805,"BESKYDSKÁ 2299, 73802, FRÝDEK-MÍSTEK",2006-01-13,2006-01-13,,True
9768510,P - Pravidelná,A,3326,"DRUŽSTEVNÍ 335, 39801, MIROTICE",2009-04-09,2011-04-09,,True
9775446,P - Pravidelná,A,3612,"PETRUSOVA 1658/2, 56802, SVITAVY - PŘEDMĚSTÍ",2007-01-18,2009-01-18,,True
9800292,P - Pravidelná,A,3326,"DRUŽSTEVNÍ 335, 39801, MIROTICE",2010-04-30,2012-04-30,,True
7764140,P - Pravidelná,A,3744,"NÁMĚSTÍ SVOBODY 578, 68604, KUNOVICE",2008-03-04,2010-03-04,,True
7722291,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2004-05-31,2006-05-31,,True
10584902,P - Pravidelná,A,3762,"BRNĚNSKÁ 404, 66442, MODŘICE",2007-11-28,2009-11-28,,True
10478072,P - Pravidelná,A,3744,"NÁMĚSTÍ SVOBODY 578, 68604, KUNOVICE",2007-04-06,2009-04-06,,True
10483150,P - Pravidelná,A,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2005-12-06,2007-12-06,,True
9019453,E - Evidenční,Nezjištěno,3737,"BORŠOVSKÁ 2622/91, 69701, NĚTČICE, KYJOV",2008-12-09,2008-12-09,,True
9322619,E - Evidenční,Nezjištěno,3519,"MRŠTÍKOVA 2, 46003, LIBEREC 3",2005-07-19,2005-07-19,,True
9841745,E - Evidenční,Nezjištěno,3519,"MRŠTÍKOVA 2, 46003, LIBEREC 3",2003-11-12,2003-11-12,,True
9819096,P - Pravidelná,A,3812,"LOVĚŠICE 258/III, 75013, PŘEROV",2009-11-02,2013-11-02,,True
664488,P - Pravidelná,A,3326,"DRUŽSTEVNÍ 335, 39801, MIROTICE",2006-11-08,2008-11-08,,True
7706728,P - Pravidelná,A,3605,"VLČNOV 30, 53701, CHRUDIM",2007-07-24,2009-07-24,,True
11556670,P - Pravidelná,A,3512,"LIBERECKÁ 558, 47301, NOVÝ BOR",2009-05-18,2011-05-18,,True
4790425,P - Pravidelná,A,3512,"LIBERECKÁ 558, 47301, NOVÝ BOR",2009-07-10,2011-07-10,,True
10483150,E - Evidenční,Nezjištěno,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2007-01-05,2007-01-05,,True
7130411,P - Pravidelná,A,3755,"DLOUHÁ BRTNICE 156, 58834, DLOUHÁ BRTNICE",2007-04-20,2009-04-12,,True
4309444,P - Pravidelná,Nezjištěno,3505,"U TEREZÍNSKÉ KŘIŽOVATKY 176, 41201, LITOMĚŘICE",2003-09-24,2005-09-11,,True
10601176,P - Pravidelná,B,3712,"BÍLANSKÁ 2595/95, 76701, KROMĚŘÍŽ",2011-01-28,2011-02-27,,True
697110,P - Pravidelná,A,3605,"VLČNOV 30, 53701, CHRUDIM",2006-09-20,2008-09-20,,True
9571067,P - Pravidelná,A,3219,"NÁM. SMIŘICKÝCH 16, 28163, KOSTELEC NAD ČERNÝMI LESY",2010-08-03,2011-08-03,,True
9894734,P - Pravidelná,A,3619,"PRŮMYSLOVÁ 381, 53301, PARDUBICE",2010-04-26,2012-04-14,,True
9246132,P - Pravidelná,A,3605,"VLČNOV 30, 53701, CHRUDIM",2007-09-20,2009-09-20,,True
