Datum 1. registrace,Datum 1. registrace v ČR,ZTP,ES/EU,Druh vozidla,Druh vozidla 2. ř.,Kategorie vozidla,Tovární značka,Typ,Varianta,Verze,VIN,Obchodní označení,Výrobce vozidla,Výrobce motoru,Typ motoru,Max. výkon [kW] / [min⁻¹],Palivo,Zdvihový objem [cm³],Plně elektrické vozidlo,Hybridní vozidlo,Třída hybridního vozidla,Emisní limit [EHKOSN/EHSES],Stupeň plnění emisní úrovně,Korigovaný součinitel absorbce [m⁻¹],CO2 město /mimo město/kombinované [g.km-1],Specifické CO2,Snížení emisí – NEDC,Snížení emisí – WLTP,Spotřeba předpis,Spotřeba město /mimo město/kombinovaná [l.100km⁻¹],Spotřeba při rychlosti [l.100 km⁻¹],Spotřeba el. mobil [Wh/km] – Z,Dojezd ZR [km],Výrobce karoserie,Druh (typ),Výrobní číslo karoserie,Barva,Barva doplňková,Počet míst celkem / k sezení / k stání,Celková délka/šířka/výška [mm],Rozvor [mm],Rozchod [mm],Provozní hmotnost,Největší technicky přípustná/povolená hmotnost [kg],Největší technicky přípustná/povolená hmotnost na nápravu [kg],Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] brzděného,Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] nebrzděného,Největší technicky přípustná/povolená hmotnost jízdní soupravy [kg],Hmotnosti vozidla při testu WLTP,Průměrná hodnota užitečného zatížení,Spojovací zařízení - druh,Počet náprav - z toho poháněných,Kola a pneumatiky na nápravě - rozměry/montáž [N.1; N.2; N.3; N.4],Vnější hluk vozidla [dB(A)] - stojícího při ot. [min⁻¹],Za jízdy,Nejvyšší rychlost [km.h⁻¹],Poměr Výkon/Hmotnost [kW.kg⁻¹],Inovativní technologie,Stupeň dokončení,Faktor odchylky - DE,Faktor verifikace - Vf,Účel vozidla,Další záznamy,Alternativní provedení,Číslo TP,Číslo ORV,Druh RZ,Zařazení vozidla,Status,PČV,ABS,Airbag,ASR,Brzdy nouzová,Brzdy odlehčovací,Brzdy parkovací,Brzdy provozní,Doplňkový text na TP,Hmotnosti provozní Do,Hmotnosti zatížení SZ,Hmotnosti zatížení SZ typ,Hydropohon,Objem cisterny,Zatížení střechy,Číslo motoru,Nejvyšší rychlost omezení,Ovládání brzd SZ,Ovládání brzd SZ druh,Retarder,Rok výroby,Délka do,Ložná délka,Ložná šířka,Výška do,Typ kód,RM zániku,Stupeň autonomity vozidla,Varianta RZ
1985-04-30,1985-04-30,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3106260,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3106260,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AO353863,AAH107250,OSOBNÍ,RSV,ZÁNIK,1,False,,False,True,False,True,True,,,,,,0,50,266924/2,,,,,1985,,0,0,,TMB12M00L,NYMBURK,Neuvedeno,
1988-02-23,1988-02-23,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3596368,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3596368,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI593913,,OSOBNÍ,RSV,ZÁNIK,2,False,,False,True,False,True,True,,,,,,0,50,5788158/120,,,,,1988,,0,0,,TMB12M00L,KLADNO,Neuvedeno,
1988-05-26,1988-05-26,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12MOOLJ3659963,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12MOOLJ3659963,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI659542,AAH100234,OSOBNÍ,RSV,ZÁNIK,3,False,,False,True,False,True,True,J,,,,,,50,5854801,,,,False,1988,,0,0,,TMB12M00L,ČERNOŠICE,Neuvedeno,
1979-01-01,1988-02-11,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,J3549360,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,J3549360,ŠEDÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AF163422,AAF351279,OSOBNÍ,RSV,ZÁNIK,4,False,,False,True,False,True,True,do 11.02.1988 karoserie č. 2057380              do 11.02.1988 motor č. 071519/2                 od 11.02.1988 vozidlo opatřeno disky a pneu                   165 x 13,,,,,0,50,5714463/120,,,,,1979,,0,0,,TMB12M00L,MD (vozidlo bez RM),Neuvedeno,
1986-12-18,1986-12-18,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3382002,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3382002,ORANŽOVÁ-SVĚTLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI264320,,OSOBNÍ,RSV,ZÁNIK,5,False,,False,True,False,True,True,,,,,,0,50,557080/2,,,,,1986,,0,0,,TMB12M00L,TŘEBOŇ,Neuvedeno,
1980-01-01,1985-08-19,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,B2303171,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,B2303171,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AG099190,,OSOBNÍ,RSV,ZÁNIK,6,False,,False,True,False,True,True,,,,,,0,50,324912/2,,,,,1980,,0,0,,TMB12M00L,JIHLAVA,Neuvedeno,
1987-12-30,1987-12-30,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3568820,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3568820,HNĚDÁ-TMAVÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI581654,,OSOBNÍ,RSV,ZÁNIK,7,False,,False,True,False,True,True,6.12.1991 iso 50 v.č. 6076  400/700             výměna motoru dříve výměnný                     výměna podvozku dříve výměnný,,,,,0,50,5759153/120,,,,,1987,,0,0,,TMB12M00L,PÍSEK,Neuvedeno,
1981-09-04,1981-09-04,1046-001-76,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,"ŠKODA 105 L / ",,,C2457538,105 L,"AZNP, N.P., MLADÁ BOLESLAV, ČSSR","AZNP, N.P., MLADÁ BOLESLAV, ČSSR",742.10,33.9 / 4800,BA 90,1046,false,false,," / ",,," /  / ",,,,"ČSN 7,2",9.4 / 6.4 / 8.6,7 / 80,,,,SEDAN,,ŽLUTÁ-ZÁKLADNÍ,,5 / 2+3 / 0,4160/ 1595/ 1400,2 400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,600/ 600,400/ 400,"/ ",,,TŘÍDA A 50-X,2/ - 1 ZADNÍ,"165 SR 13, 155 SR 14/ 4.5 J x 13, 4.5 J x 14|165 SR 13, 155 SR 14/ 4.5 J x 13, 4.5 J x 14|/ |/ |","/ ",80,125,,,,,,,,,UF534039,UAB436519,OSOBNÍ,RSV,ZÁNIK,8,False,,False,True,False,True,True,,,50,Z,,,50,,,,,False,1981,,,,,,DĚČÍN,Neuvedeno,
1981-01-01,1981-01-01,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,ŠKODA,"ŠKODA 105 L / ",,,C2528358,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,"0 / ",,,.,.,C2528358,MODRÁ-SVĚTLÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,UC047135,UAC095577,STD. SILNIČNÍ,RSV,ZÁNIK,9,False,,False,False,False,False,False,,,,,,0,0,561087/1,,,,False,1981,,0,0,,,PACOV,Neuvedeno,
1976-05-13,1976-05-13,780,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2101 / ",,,1791217,.,.,.,VAZ 2101,0 / 0,BA 96,1198,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,1791217,ŽLUTÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",945,1345/ 1345,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD901322,AAA578075,OSOBNÍ,RSV,PROVOZOVANÉ,10,,,,False,False,False,False,,,,,,0,0,1971255,,,,,1976,,0,0,,,,Neuvedeno,
